epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.005,1.3477,3.17187,1.20975,0.35596,0.00213,0.0037,0.00169,nan,nan,nan,0.000333095,0.000333095,0.000333095
2,691.854,1.31585,2.43899,1.21409,0.52839,0.00213,0.00603,0.00478,nan,nan,nan,0.000653233,0.000653233,0.000653233
3,1023.32,1.29649,1.99513,1.20455,0.98785,0.00213,0.00991,0.0061,nan,nan,nan,0.000960171,0.000960171,0.000960171
4,1353.79,1.26916,1.71302,1.19822,0.94255,0.00213,0.0143,0.0123,nan,nan,nan,0.0009406,0.0009406,0.0009406
5,1683.57,1.22537,1.56983,1.16955,0.95247,0.00213,0.02105,0.0181,nan,nan,nan,0.0009208,0.0009208,0.0009208
6,2012.47,1.19597,1.41134,1.16203,0.78558,0.00213,0.05075,0.04015,nan,nan,nan,0.000901,0.000901,0.000901
7,2340.21,1.16126,1.37007,1.13539,0.97919,0.00213,0.03858,0.03186,nan,nan,nan,0.0008812,0.0008812,0.0008812
8,2667.65,1.13259,1.27821,1.12068,0.81462,0.00213,0.03396,0.03056,nan,nan,nan,0.0008614,0.0008614,0.0008614
9,2995.83,1.12248,1.26775,1.12191,0.96818,0.00213,0.03198,0.01887,nan,nan,nan,0.0008416,0.0008416,0.0008416
10,3323.16,1.10096,1.22036,1.11074,0.98255,0.00213,0.042,0.03043,nan,nan,nan,0.0008218,0.0008218,0.0008218
11,3651.22,1.08529,1.15332,1.10075,0.79046,0.00213,0.0275,0.02227,nan,nan,nan,0.000802,0.000802,0.000802
12,3981.33,1.06861,1.11973,1.09337,0.97964,0.00213,0.0778,0.05313,nan,nan,nan,0.0007822,0.0007822,0.0007822
13,4315.38,1.05189,1.10259,1.08809,0.96586,0.00213,0.02998,0.01778,nan,nan,nan,0.0007624,0.0007624,0.0007624
14,4645.51,1.04433,1.07688,1.08533,0.80983,0.00213,0.0501,0.03687,nan,nan,nan,0.0007426,0.0007426,0.0007426
15,4975.49,1.02838,1.0431,1.0827,0.8178,0.00213,0.07089,0.04415,nan,nan,nan,0.0007228,0.0007228,0.0007228
16,5305.44,1.02707,1.03547,1.07474,0.48789,0.00213,0.05702,0.04708,nan,nan,nan,0.000703,0.000703,0.000703
17,5632.84,1.01127,0.99074,1.06291,0.81812,0.00213,0.05704,0.04078,nan,nan,nan,0.0006832,0.0006832,0.0006832
18,5959.85,0.99926,0.96624,1.06065,0.65298,0.00213,0.06256,0.04661,nan,nan,nan,0.0006634,0.0006634,0.0006634
19,6287.15,0.99215,0.94727,1.04957,0.98697,0.00213,0.12624,0.10106,nan,nan,nan,0.0006436,0.0006436,0.0006436
20,6614.98,0.97438,0.93501,1.05156,0.82167,0.00213,0.05565,0.04156,nan,nan,nan,0.0006238,0.0006238,0.0006238
21,6942.66,0.98332,0.92455,1.05075,0.81557,0.00213,0.05704,0.04078,nan,nan,nan,0.000604,0.000604,0.000604
22,7270.58,0.95885,0.89139,1.03984,0.81224,0.00213,0.07087,0.05318,nan,nan,nan,0.0005842,0.0005842,0.0005842
23,7600.68,0.94518,0.88586,1.03396,0.98763,0.00213,0.04873,0.03197,nan,nan,nan,0.0005644,0.0005644,0.0005644
24,7929.71,0.94559,0.88006,1.02961,0.49443,0.00213,0.14003,0.1064,nan,nan,nan,0.0005446,0.0005446,0.0005446
25,8255.73,0.92641,0.84234,1.0276,0.9893,0.00213,0.07087,0.04829,nan,nan,nan,0.0005248,0.0005248,0.0005248
26,8583.27,0.92684,0.84626,1.03175,0.98865,0.00213,0.07087,0.04683,nan,nan,nan,0.000505,0.000505,0.000505
27,8911.37,0.92544,0.84423,1.02785,0.81849,0.00213,0.07087,0.05114,nan,nan,nan,0.0004852,0.0004852,0.0004852
28,9238.19,0.92317,0.82584,1.02677,0.49498,0.00213,0.11241,0.07605,nan,nan,nan,0.0004654,0.0004654,0.0004654
29,9565.2,0.89166,0.81053,1.01033,0.4965,0.00213,0.14003,0.10923,nan,nan,nan,0.0004456,0.0004456,0.0004456
30,9892.72,0.90453,0.78452,1.02002,0.48584,0.00213,0.09855,0.06904,nan,nan,nan,0.0004258,0.0004258,0.0004258
31,10220.3,0.8933,0.78684,1.01264,0.66354,0.00213,0.12618,0.1093,nan,nan,nan,0.000406,0.000406,0.000406
32,10548.1,0.8793,0.76707,1.00905,0.65992,0.00213,0.14003,0.11476,nan,nan,nan,0.0003862,0.0003862,0.0003862
33,10876,0.86878,0.73953,1.00297,0.4968,0.00213,0.12618,0.09877,nan,nan,nan,0.0003664,0.0003664,0.0003664
34,11203.9,0.85472,0.73373,0.99273,0.82365,0.00213,0.0847,0.06358,nan,nan,nan,0.0003466,0.0003466,0.0003466
35,11531.7,0.84794,0.73442,0.99343,0.49038,0.00213,0.09855,0.07467,nan,nan,nan,0.0003268,0.0003268,0.0003268
36,11859.5,0.85636,0.7237,0.99345,0.65799,0.00213,0.09855,0.07189,nan,nan,nan,0.000307,0.000307,0.000307
37,12188.1,0.83861,0.70099,0.98303,0.49591,0.00213,0.14003,0.10916,nan,nan,nan,0.0002872,0.0002872,0.0002872
38,12517.3,0.84134,0.69517,0.98664,0.32545,0.00213,0.12624,0.09267,nan,nan,nan,0.0002674,0.0002674,0.0002674
39,12845.4,0.8419,0.69282,0.98851,0.49669,0.00213,0.14003,0.11476,nan,nan,nan,0.0002476,0.0002476,0.0002476
40,13178.6,0.82491,0.6867,0.98272,0.48924,0.00213,0.08472,0.06229,nan,nan,nan,0.0002278,0.0002278,0.0002278
41,13535.8,0.76529,0.54122,0.93347,0.49681,0.00213,0.14003,0.10916,nan,nan,nan,0.000208,0.000208,0.000208
42,13864.6,0.74805,0.51576,0.92462,0.66347,0.00213,0.14003,0.11476,nan,nan,nan,0.0001882,0.0001882,0.0001882
43,14191.9,0.74515,0.50814,0.92059,0.33333,0.00213,0.16773,0.13416,nan,nan,nan,0.0001684,0.0001684,0.0001684
44,14518.1,0.73966,0.49459,0.92196,0.49685,0.00213,0.14003,0.112,nan,nan,nan,0.0001486,0.0001486,0.0001486
45,14845.4,0.71984,0.48829,0.91417,0.4967,0.00213,0.14003,0.112,nan,nan,nan,0.0001288,0.0001288,0.0001288
46,15171.8,0.71923,0.47365,0.9107,0.33333,0.00213,0.16773,0.13838,nan,nan,nan,0.000109,0.000109,0.000109
47,15497.8,0.7113,0.46842,0.90446,0.49679,0.00213,0.14003,0.10916,nan,nan,nan,8.92e-05,8.92e-05,8.92e-05
48,15825.5,0.70536,0.46824,0.90535,0.49685,0.00213,0.14003,0.11754,nan,nan,nan,6.94e-05,6.94e-05,6.94e-05
49,16152.9,0.69554,0.45409,0.90829,0.49682,0.00213,0.14003,0.12039,nan,nan,nan,4.96e-05,4.96e-05,4.96e-05
50,16479.9,0.69281,0.45188,0.90247,0.33333,0.00213,0.16773,0.13416,nan,nan,nan,2.98e-05,2.98e-05,2.98e-05
